age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23,?,194096,Some-college,10,Never-married,?,Own-child,White,Female,0,0,30,United-States,<=50K
22,Private,208946,Assoc-acdm,12,Never-married,Sales,Own-child,White,Male,0,0,30,?,<=50K
36,?,157278,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
22,?,261881,11th,7,Never-married,?,Other-relative,Black,Female,0,0,15,United-States,<=50K
22,?,191561,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,30,United-States,<=50K
18,?,142043,11th,7,Never-married,?,Other-relative,White,Male,0,0,15,United-States,<=50K
62,?,119986,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,60,United-States,>50K
53,?,394690,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,5,United-States,<=50K
17,?,347248,10th,6,Never-married,?,Own-child,White,Female,0,0,20,United-States,<=50K
52,?,188431,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,45,United-States,<=50K
65,?,258973,Some-college,10,Widowed,?,Not-in-family,White,Female,401,0,14,United-States,<=50K
21,?,162165,Some-college,10,Never-married,?,Not-in-family,White,Female,0,0,43,United-States,<=50K
19,?,341631,HS-grad,9,Never-married,?,Other-relative,White,Female,0,0,25,United-States,<=50K
51,Private,145409,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,?,>50K
24,?,287413,HS-grad,9,Never-married,?,Not-in-family,Black,Male,0,0,60,United-States,<=50K
23,?,473206,HS-grad,9,Never-married,?,Own-child,Black,Male,0,0,32,United-States,<=50K
29,Private,160510,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,?,>50K
58,Private,223214,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,>50K
40,Private,136986,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,52,United-States,>50K
22,?,303579,Some-college,10,Never-married,?,Own-child,White,Male,0,1602,8,United-States,<=50K
41,Self-emp-inc,244172,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,>50K
73,?,99349,Bachelors,13,Widowed,?,Not-in-family,White,Female,0,0,15,United-States,<=50K
83,?,29702,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,20,United-States,<=50K
41,?,133456,Assoc-acdm,12,Widowed,?,Not-in-family,White,Female,0,0,50,United-States,<=50K
20,?,203353,Some-college,10,Never-married,?,Own-child,White,Female,0,0,40,United-States,<=50K
23,?,172232,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
22,?,185357,Some-college,10,Never-married,?,Own-child,White,Male,0,0,50,United-States,<=50K
30,Private,427541,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Female,99999,0,40,United-States,>50K
18,?,90636,Some-college,10,Never-married,?,Own-child,Amer-Indian-Eskimo,Female,594,0,40,United-States,<=50K
57,Private,166107,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,40,?,<=50K
20,?,228326,Some-college,10,Never-married,?,Own-child,White,Male,0,0,60,United-States,<=50K
27,?,119851,Some-college,10,Divorced,?,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
68,?,110931,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,32,United-States,<=50K
55,?,246219,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,2105,0,40,United-States,<=50K
75,?,226593,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,20,United-States,<=50K
20,?,369907,Some-college,10,Never-married,?,Own-child,White,Male,0,0,20,United-States,<=50K
31,Self-emp-inc,112564,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,40,?,<=50K
20,?,323309,HS-grad,9,Never-married,?,Own-child,Other,Male,0,0,60,South,<=50K
18,?,191817,11th,7,Never-married,?,Own-child,White,Male,0,0,20,Mexico,<=50K
47,Private,263984,Some-college,10,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,0,0,40,?,<=50K
33,Federal-gov,207723,Masters,14,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,?,<=50K
35,?,224466,HS-grad,9,Never-married,?,Other-relative,Black,Male,0,0,24,United-States,<=50K
52,?,91447,Bachelors,13,Widowed,?,Not-in-family,White,Female,0,2205,8,United-States,<=50K
28,?,243190,Bachelors,13,Never-married,?,Not-in-family,Asian-Pac-Islander,Male,0,0,30,?,<=50K
23,?,205690,Assoc-voc,11,Never-married,?,Unmarried,Black,Male,0,0,40,United-States,<=50K
45,Private,259412,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,>50K
36,?,137492,HS-grad,9,Divorced,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
61,Self-emp-inc,103575,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,40,United-States,>50K
46,Private,192713,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,?,<=50K
36,?,247547,HS-grad,9,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,<=50K
45,?,69596,10th,6,Divorced,?,Unmarried,White,Female,0,0,40,United-States,<=50K
52,Private,45599,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,?,<=50K
35,?,29075,11th,7,Divorced,?,Unmarried,Amer-Indian-Eskimo,Female,0,0,6,United-States,<=50K
37,State-gov,117166,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,?,<=50K
23,Private,191878,Some-college,10,Never-married,Sales,Own-child,Black,Female,0,0,38,?,<=50K
50,?,339547,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,50,?,<=50K
17,?,94492,10th,6,Never-married,?,Own-child,White,Female,0,0,30,United-States,<=50K
36,Private,181553,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,?,<=50K
21,?,436431,Preschool,1,Married-civ-spouse,?,Other-relative,White,Female,0,0,40,Mexico,<=50K
76,?,197988,5th-6th,3,Married-civ-spouse,?,Husband,White,Male,0,0,8,United-States,<=50K
69,?,156387,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
38,?,295166,HS-grad,9,Married-civ-spouse,?,Husband,Black,Male,0,0,40,United-States,<=50K
57,Self-emp-inc,249072,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,60,United-States,>50K
64,?,285742,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,>50K
61,?,274499,HS-grad,9,Married-civ-spouse,?,Husband,Black,Male,0,0,40,United-States,<=50K
33,Self-emp-not-inc,300681,10th,6,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,?,<=50K
37,Local-gov,76845,Masters,14,Never-married,Prof-specialty,Not-in-family,Black,Male,0,0,40,?,<=50K
22,?,33016,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
54,?,389182,HS-grad,9,Divorced,?,Not-in-family,White,Female,0,0,60,Germany,<=50K
41,?,307589,Bachelors,13,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,5,Philippines,<=50K
41,?,193537,Assoc-acdm,12,Divorced,?,Unmarried,White,Female,0,0,10,Dominican-Republic,<=50K
64,?,201700,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
20,?,175431,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
36,?,103886,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,15,United-States,<=50K
61,?,29059,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,12,United-States,<=50K
51,?,243631,HS-grad,9,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,2105,0,20,South,<=50K
21,Private,154556,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,15,?,<=50K
27,?,96219,HS-grad,9,Separated,?,Unmarried,White,Female,0,0,50,United-States,<=50K
65,?,94809,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,?,163748,Masters,14,Divorced,?,Unmarried,White,Female,0,0,35,?,<=50K
72,?,195181,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,32,United-States,<=50K
27,?,258231,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,35,?,<=50K
36,Private,179731,HS-grad,9,Never-married,Priv-house-serv,Other-relative,White,Female,0,0,20,?,<=50K
19,?,180395,Some-college,10,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,0,36,United-States,<=50K
29,?,212588,Bachelors,13,Never-married,?,Not-in-family,White,Male,0,0,53,United-States,<=50K
27,?,95708,11th,7,Divorced,?,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
71,?,111712,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,16,United-States,<=50K
54,?,186565,Masters,14,Divorced,?,Not-in-family,White,Male,0,0,1,United-States,<=50K
32,?,161288,9th,5,Married-civ-spouse,?,Husband,White,Male,0,0,45,United-States,<=50K
45,State-gov,164593,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,?,<=50K
31,Self-emp-not-inc,190650,Masters,14,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,?,<=50K
21,?,216867,Some-college,10,Never-married,?,Other-relative,White,Male,0,0,40,Mexico,<=50K
23,?,164732,Some-college,10,Never-married,?,Not-in-family,White,Male,0,0,10,United-States,<=50K
27,?,132372,HS-grad,9,Never-married,?,Unmarried,White,Female,0,0,40,?,<=50K
18,?,151404,11th,7,Never-married,?,Own-child,White,Female,0,0,15,United-States,<=50K
47,?,104489,10th,6,Married-civ-spouse,?,Husband,White,Male,0,0,45,United-States,<=50K
27,?,176683,Some-college,10,Never-married,?,Own-child,White,Male,0,1719,40,United-States,<=50K
21,?,34446,Some-college,10,Never-married,?,Own-child,White,Female,0,0,35,United-States,<=50K
37,?,70282,HS-grad,9,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,<=50K
31,Private,356410,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40,United-States,>50K
75,?,27663,7th-8th,4,Separated,?,Not-in-family,White,Male,0,0,50,United-States,<=50K
40,Private,320451,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,40,?,>50K
21,?,234838,Some-college,10,Never-married,?,Own-child,White,Male,0,0,30,United-States,<=50K
76,?,209674,7th-8th,4,Divorced,?,Not-in-family,White,Female,0,0,7,United-States,<=50K
58,?,99131,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,7298,0,40,United-States,>50K
21,?,334593,Some-college,10,Never-married,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,151835,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,50,United-States,>50K
22,?,60331,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,10,United-States,<=50K
36,?,177974,11th,7,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
59,?,191665,Some-college,10,Widowed,?,Not-in-family,White,Female,0,2205,40,United-States,<=50K
32,?,161309,Prof-school,15,Married-civ-spouse,?,Wife,White,Female,15024,0,50,United-States,>50K
54,?,99208,Preschool,1,Married-civ-spouse,?,Husband,White,Male,0,0,16,United-States,<=50K
43,Private,132633,Some-college,10,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,40,?,<=50K
34,?,144194,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,0,0,35,United-States,<=50K
23,?,264874,Assoc-voc,11,Never-married,?,Other-relative,White,Female,0,0,40,?,<=50K
64,?,223075,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,8,United-States,<=50K
52,?,88073,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,40,United-States,<=50K
28,?,375703,HS-grad,9,Divorced,?,Other-relative,Black,Female,0,1721,40,United-States,<=50K
42,Private,121352,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,80,?,>50K
51,?,81169,HS-grad,9,Separated,?,Unmarried,White,Female,0,0,38,United-States,<=50K
18,?,160984,11th,7,Never-married,?,Own-child,White,Female,0,0,6,United-States,<=50K
52,Private,148509,10th,6,Married-spouse-absent,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,0,0,45,?,<=50K
53,Self-emp-inc,158294,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,99999,0,75,United-States,>50K
23,?,170456,Some-college,10,Never-married,?,Own-child,White,Male,0,0,5,United-States,<=50K
29,?,143938,HS-grad,9,Separated,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
18,?,311863,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
20,?,37932,Some-college,10,Never-married,?,Own-child,White,Male,0,0,30,United-States,<=50K
34,Private,344275,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,?,>50K
34,?,73296,11th,7,Never-married,?,Not-in-family,Black,Female,0,0,40,United-States,<=50K
19,?,87515,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,44,Germany,<=50K
58,?,365410,Some-college,10,Separated,?,Other-relative,White,Female,0,0,99,United-States,<=50K
67,?,46449,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,10,United-States,<=50K
49,Self-emp-inc,131826,Prof-school,15,Widowed,Prof-specialty,Unmarried,White,Male,99999,0,50,United-States,>50K
